name	female	male	number_of_GFP_kernels	number_of_WT_kernels	year	cross_type	family	category	allele	FPKM	PCR_confirmed
X401x484-4m1	401	484-4m1	200	225	2018	male	484	vegetative_cell_high	tdsgR98H09	369.498	TRUE
X400x454L-1m1	400	454L-1m1	79	109	2018	male	454	sperm_cell_high	tdsgR60D10	76.6179	TRUE
X402x447-1m1	402	447-1m1	230	251	2018	male	447	seedling_only	tdsgR46C04	106.187666666667	TRUE
X402x439-1m2	402	439-1m2	207	175	2018	male	439	vegetative_cell_high	tdsgR31H05	196.9	TRUE
X417-3x402	417-3	402	140	125	2018	female	417	vegetative_cell_high	tdsgR02D02	54.9727	TRUE
X402x454-3m3	402	454-3m3	320	293	2018	male	454	sperm_cell_high	tdsgR60D10	76.6179	TRUE
X401x432L-3m1	401	432L-3m1	242	245	2018	male	432	vegetative_cell_high	tdsgR23D05	31.1667	TRUE
X498-5x402	498-5	402	153	145	2018	female	498	vegetative_cell_high	tdsgR107C12	885.729	TRUE
X494-4x402	494-4	402	221	223	2018	female	494	sperm_cell_high	tdsgR91F11	220.451	TRUE
X474-1x402	474-1	402	103	113	2018	female	474	sperm_cell_high	tdsgR87A03	51.2846	TRUE
X401x459-2m1	401	459-2m1	227	249	2018	male	459	vegetative_cell_high	tdsgR67C09	21028.2	TRUE
X402x417-2m2	402	417-2m2	144	158	2018	male	417	vegetative_cell_high	tdsgR02D02	54.9727	TRUE
X402x487A-1m2	402	487A-1m2	177	185	2018	male	487	vegetative_cell_high	tdsgR32B05	32.8555	TRUE
