image_name	GFP_hand	wt_hand
X402x441-2m1	280	261
X402x441-2m2	241	226
X402x441-2m3	286	259
X403x441-3m1	171	190
X402x451A-1m1	219	191
X402x451A-4m1	205	207
X402x451A-4m2	245	226
X402x451A-5m1	186	174
X402x451A-5m2	249	263
X402x454-3m1	162	163
X402x454-3m2	277	283
X402x454-3m3	318	292
X403x454-3m4	235	217
X400x454L-1m1	93	68
X403x470-2m1	197	177
X403x474-1m1	94	98
X402x474-2m1	178	197
X401x474-2m2	156	180
X402x474-4m1	257	226
X401x474-4m2	275	250
X402x474-4m3	261	255
X402x474-4m4	141	162
X402x474-4m5	178	170
X400x474L-2m1	387	0
X400x474L-2m2	368	8
X401x491-1m1	103	228
X402x494-1m1	138	129
X402x494-1m2	312	272
X403x494-1m3	195	221
X402x494-2m1	249	254
X401x494-4m1	147	197
X401x415-1m1	154	172
X403x415-3m1	159	162
X403x415-4m1	203	197
X402x415-4m2	198	223
X402x415-4m3	146	144
X400x415L-1m1	148	177
X401x417-2m1	114	123
X402x417-2m2	139	147
X402x417-2m3	99	97
X400x417-3m1	163	157
X401x445-1m1	184	155
X401x445-2m1	242	255
X402x445-2m2	214	245
X402x445-2m3	261	271
X403x445-4m1	244	231
X400x445L-3m1	173	181
X402x462A-1m1	156	200
X401x462A-3m1	202	201
X402x462A-3m2	238	222
X402x462A-3m3	305	306
X402x462A-3m4	214	193
X401x469A-2m1	238	217
X402x469A-3m1	293	259
X402x469A-3m2	283	271
X402x469A-3m3	273	244
X401x480A-1m1	240	200
X401x480A-3m1	259	239
X402x480A-4m1	247	238
X402x480A-4m2	293	261
X402x480A-4m3	171	160
X401x484-3m1	193	259
X402x484-3m2	260	273
X402x484-3m3	196	191
X401x484-4m1	190	223
X402x484-4m2	215	210
X401x484-4m3	229	258
X402x484-4m4	162	185
X400x485-1m1	220	217
X401x485-3m1	192	209
X400x485-5m1	194	192
X402x485-5m2	287	293
X400x485L-3m1	149	150
X400x485L-3m2	139	155
X402x426-1m1	154	143
X402x426-1m2	205	223
X402x426-1m3	224	221
X400x426L-2m2	117	131
X400x446L-2m1	144	135
X402x449A-1m1	152	171
X402x449A-1m2	160	139
X402x449A-1m3	73	78
X402x449A-1m4	113	122
X402x456-2m1	328	313
X402x456-2m2	229	263
X402x456-2m3	71	65
X402x456L-1m1	295	311
X402x456L-3m1	139	137
X400x457-1m1	174	162
X400x457-1m2	160	139
X402x457-1m3	233	236
X402x457-1m4	231	233
X402x458-1m1	246	249
X402x458-1m2	204	238
X402x458-1m3	143	162
X402x458-2/3m1	181	189
X402x458-2/3m3	64	53
X402x458-2/3m2	121	148
X402x479A-1m1	205	222
X402x479A-1m2	134	126
X402x479A-1m3	195	173
X402x463A-1m1	194	192
X402x463A-1m2	309	269
X402x463A-1m3	216	196
X403x463A-1m4	114	93
X403x463A-2m1	183	216
X402x463A-3m1	325	273
X400x463AL-1m1	118	120
X401x438-2m1	141	168
X403x438-2m2	98	95
X402x438-2m3	218	216
X401x438-4m1	193	200
X402x460-2m1	175	189
X402x460-2m3	179	235
X401x460-3m1	158	181
X401x478A-5m1	149	145
X402x478A-5m2	215	185
X402x478A-5m3	238	244
