name	female	male	number_of_GFP_kernels	number_of_WT_kernels	year	cross_type	family	category	allele	FPKM	PCR_confirmed
Y2x32-3	2	32-3	133	155	2019	male	32	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
Y17-4x1	17-4	1	235	226	2019	female	17	vegetative_cell_high	tdsgR32B05	32.8555	TRUE
Y18-1x1	18-1	1	202	203	2019	female	18	vegetative_cell_high	tdsgR02D02	54.9727	TRUE
Y2x63-1	2	63-1	212	181	2019	male	63	sperm_cell_high	tdsgR53C03	48.0851	TRUE
Y37-1x1	37-1	1	259	267	2019	female	37	seedling_only	tdsgR106F04	103.9473	TRUE
Y32-2x1	32-2	1	221	244	2019	female	32	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
Y2x51-3	2	51-3	155	154	2019	male	51	vegetative_cell_high	tdsgR52E07	153.004	TRUE
Y36-2x1	36-2	1	235	230	2019	female	36	vegetative_cell_high	tdsgR92A10	132.288	TRUE
Y33-1x1	33-1	1	349	290	2019	female	33	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
Y2x26-2	2	26-2	166	161	2019	male	26	vegetative_cell_high	tdsgR01G01	176.627	TRUE
Y41B-6x1	41B-6	1	271	268	2019	female	41	vegetative_cell_high	tdsgR98H09	369.498	TRUE
Y2x70-3	2	70-3	279	200	2019	male	70	vegetative_cell_high	tdsgR08A07	353.673	TRUE
Y2x49-5	2	49-5	90	115	2019	male	49	vegetative_cell_high	tdsgR24D03	165.028	TRUE
Y2x26-5	2	26-5	232	186	2019	male	26	vegetative_cell_high	tdsgR01G01	176.627	TRUE
Y2x68-2	2	68-2	211	193	2019	male	68	vegetative_cell_high	tdsgR83B04	90.3365	TRUE
Y69-3x1	69-3	1	197	197	2019	female	69	vegetative_cell_high	tdsgR49F11	4175.48	TRUE
Y66-6x1	66-6	1	247	257	2019	female	66	sperm_cell_high	tdsgR26G07	118.053	TRUE
Y2x51-4	2	51-4	175	187	2019	male	51	vegetative_cell_high	tdsgR52E07	153.004	TRUE
Y63-5x1	63-5	1	197	190	2019	female	63	sperm_cell_high	tdsgR53C03	48.0851	TRUE
Y2x34-1	2	34-1	156	183	2019	male	34	vegetative_cell_high	tdsgR101B03	4371.01	TRUE
Y56-2x1	56-2	1	211	193	2019	female	56	vegetative_cell_high	tdsgR41F01	159.129	TRUE
Y53-1x1	53-1	1	311	277	2019	female	53	seedling_only	tdsgR52B09	96.7292666666667	TRUE
Y2x69-3	2	69-3	235	251	2019	male	69	vegetative_cell_high	tdsgR49F11	4175.48	TRUE
Y2x71-2	2	71-2	144	186	2019	male	71	vegetative_cell_high	tdsgR81E02	4371.01	TRUE
Y2x87-6	2	87-6	50	241	2019	male	87	sperm_cell_high	tdsgR84A12	392.156	TRUE
Y87-8x1	87-8	1	264	252	2019	female	87	sperm_cell_high	tdsgR84A12	392.156	TRUE
Y52-2x1	52-2	1	304	233	2019	female	52	vegetative_cell_high	tdsgR52E07	153.004	TRUE
Y58-4x1	58-4	1	286	274	2019	female	58	vegetative_cell_high	tdsgR99B02	56.2152	TRUE
Y2x71-5	2	71-5	123	137	2019	male	71	vegetative_cell_high	tdsgR81E02	4371.01	TRUE
Y50G-4x1	50G-4	1	202	227	2019	female	50	sperm_cell_high	tdsgR106G12	126.303	TRUE
Y2x87-1	2	87-1	106	267	2019	male	87	sperm_cell_high	tdsgR84A12	392.156	TRUE
Y2x34-6	2	34-6	171	183	2019	male	34	vegetative_cell_high	tdsgR101B03	4371.01	TRUE
Y54-4x1	54-4	1	230	227	2019	female	54	vegetative_cell_high	tdsgR33F03	304.574	TRUE
Y2x69-4	2	69-4	108	176	2019	male	69	vegetative_cell_high	tdsgR49F11	4175.48	TRUE
Y71-2x1	71-2	1	219	223	2019	female	71	vegetative_cell_high	tdsgR81E02	4371.01	TRUE
Y2x41B-5	2	41B-5	197	166	2019	male	41	vegetative_cell_high	tdsgR98H09	369.498	TRUE
Y84-1x1	84-1	1	216	239	2019	female	84	seedling_only	tdsgR65E02	234.641	TRUE
Y80-1x1	80-1	1	253	287	2019	female	80	vegetative_cell_high	tdsgR72D11	90.5725	TRUE
Y2x80-5	2	80-5	225	263	2019	male	80	vegetative_cell_high	tdsgR72D11	90.5725	TRUE
Y70-1x1	70-1	1	245	241	2019	female	70	vegetative_cell_high	tdsgR08A07	353.673	TRUE
Y75-2x1	75-2	1	246	245	2019	female	75	vegetative_cell_high	tdsgR45E04	32.8555	TRUE
Y2x19-1	2	19-1	99	218	2019	male	19	sperm_cell_high	tdsgR82A03	392.156	TRUE
Y26-3x1	26-3	1	160	177	2019	female	26	vegetative_cell_high	tdsgR01G01	176.627	TRUE
Y2x80-2	2	80-2	188	212	2019	male	80	vegetative_cell_high	tdsgR72D11	90.5725	TRUE
Y82-7x1	82-7	1	242	239	2019	female	82	vegetative_cell_high	tdsgR35A08	162	TRUE
Y87-4x1	87-4	1	316	243	2019	female	87	sperm_cell_high	tdsgR84A12	392.156	TRUE
Y88-1x1	88-1	1	209	228	2019	female	88	vegetative_cell_high	tdsgR107C12	885.729	TRUE
Y2x19-6	2	19-6	98	184	2019	male	19	sperm_cell_high	tdsgR82A03	392.156	TRUE
Y24-5x1	24-5	1	284	255	2019	female	24	vegetative_cell_high	tdsgR102H01	2786.36	TRUE
Y20-5x1	20-5	1	266	209	2019	female	20	vegetative_cell_high	tdsgR23D05	31.1667	TRUE
Y2x38-1	2	38-1	229	251	2019	male	38	vegetative_cell_high	tdsgR04G10	60.916	TRUE
Y25-6x1	25-6	1	274	254	2019	female	25	seedling_only	tdsgR63F09	38.2865666666667	TRUE
Y2x41B-2	2	41B-2	220	191	2019	male	41	vegetative_cell_high	tdsgR98H09	369.498	TRUE
Y2x87-8	2	87-8	102	181	2019	male	87	sperm_cell_high	tdsgR84A12	392.156	TRUE
Y73-4x1	73-4	1	231	227	2019	female	73	sperm_cell_high	tdsgR35A03	160.436	TRUE
Y18-2x1	18-2	1	269	257	2019	female	18	vegetative_cell_high	tdsgR02D02	54.9727	TRUE
Y2x86G-2	2	86G-2	162	119	2019	male	86	vegetative_cell_high	tdsgR103E04	35.5349	TRUE
Y19-1x1	19-1	1	99	160	2019	female	19	sperm_cell_high	tdsgR82A03	392.156	TRUE
Y45-5x1	45-5	1	269	217	2019	female	45	sperm_cell_high	tdsgR87A03	51.2846	TRUE
Y2x46-2	2	46-2	289	281	2019	male	46	sperm_cell_high	tdsgR60D10	76.6179	TRUE
Y14-2x1	14-2	1	210	215	2019	female	14	vegetative_cell_high	tdsgR92F08	330.685	TRUE
Y11-1x1	11-1	1	267	268	2019	female	11	sperm_cell_high	tdsgR91F11	220.451	TRUE
Y43-3x1	43-3	1	275	274	2019	female	43	seedling_only	tdsgR46C04	106.187666666667	TRUE
Y66-9x1	66-9	1	200	228	2019	female	66	sperm_cell_high	tdsgR26G07	118.053	TRUE
Y35-4x1	35-4	1	246	259	2019	female	35	vegetative_cell_high	tdsgR81G05	64.6735	TRUE
Y66-5x1	66-5	1	182	204	2019	female	66	sperm_cell_high	tdsgR26G07	118.053	TRUE
Y2x50G-2	2	50G-2	292	270	2019	male	50	sperm_cell_high	tdsgR106G12	126.303	TRUE
Y41B-5x1	41B-5	1	255	216	2019	female	41	vegetative_cell_high	tdsgR98H09	369.498	TRUE
Y2x73-3	2	73-3	283	217	2019	male	73	sperm_cell_high	tdsgR35A03	160.436	TRUE
Y68-3x1	68-3	1	223	247	2019	female	68	vegetative_cell_high	tdsgR83B04	90.3365	TRUE
Y2x25-2	2	25-2	293	295	2019	male	25	seedling_only	tdsgR63F09	38.2865666666667	TRUE
Y2x73-4	2	73-4	287	284	2019	male	73	sperm_cell_high	tdsgR35A03	160.436	TRUE
Y39-4x1	39-4	1	239	229	2019	female	39	vegetative_cell_high	tdsgR88B08	720.42	TRUE
Y36-1x1	36-1	1	293	261	2019	female	36	vegetative_cell_high	tdsgR92A10	132.288	TRUE
Y64-3x1	64-3	1	253	241	2019	female	64	sperm_cell_high	tdsgR53C03	48.0851	TRUE
Y32-1x1	32-1	1	202	202	2019	female	32	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
Y2x52-3	2	52-3	270	253	2019	male	52	vegetative_cell_high	tdsgR52E07	153.004	TRUE
Y2x50G-5	2	50G-5	162	161	2019	male	50	sperm_cell_high	tdsgR106G12	126.303	TRUE
Y2x70-2	2	70-2	172	174	2019	male	70	vegetative_cell_high	tdsgR08A07	353.673	TRUE
Y2x49-4	2	49-4	179	152	2019	male	49	vegetative_cell_high	tdsgR24D03	165.028	TRUE
Y2x26-4	2	26-4	223	181	2019	male	26	vegetative_cell_high	tdsgR01G01	176.627	TRUE
Y2x14-6	2	14-6	135	168	2019	male	14	vegetative_cell_high	tdsgR92F08	330.685	TRUE
Y56-3x1	56-3	1	254	264	2019	female	56	vegetative_cell_high	tdsgR41F01	159.129	TRUE
Y2x35-1	2	35-1	216	255	2019	male	35	vegetative_cell_high	tdsgR81G05	64.6735	TRUE
Y2x63-7	2	63-7	204	191	2019	male	63	sperm_cell_high	tdsgR53C03	48.0851	TRUE
Y2x68-3	2	68-3	265	281	2019	male	68	vegetative_cell_high	tdsgR83B04	90.3365	TRUE
Y54-5x1	54-5	1	113	124	2019	female	54	vegetative_cell_high	tdsgR33F03	304.574	TRUE
Y51-6x1	51-6	1	230	251	2019	female	51	vegetative_cell_high	tdsgR52E07	153.004	TRUE
Y2x35-6	2	35-6	150	151	2019	male	35	vegetative_cell_high	tdsgR81G05	64.6735	TRUE
Y2x51-2	2	51-2	63	76	2019	male	51	vegetative_cell_high	tdsgR52E07	153.004	TRUE
Y2x86-1	2	86-1	278	284	2019	male	86	vegetative_cell_high	tdsgR103E04	35.5349	TRUE
Y50G-5x1	50G-5	1	268	225	2019	female	50	sperm_cell_high	tdsgR106G12	126.303	TRUE
Y2x70-5	2	70-5	134	151	2019	male	70	vegetative_cell_high	tdsgR08A07	353.673	TRUE
Y2x49-3	2	49-3	82	96	2019	male	49	vegetative_cell_high	tdsgR24D03	165.028	TRUE
Y2x26-3	2	26-3	229	289	2019	male	26	vegetative_cell_high	tdsgR01G01	176.627	TRUE
Y2x14-1	2	14-1	171	199	2019	male	14	vegetative_cell_high	tdsgR92F08	330.685	TRUE
Y2x45-3	2	45-3	114	126	2019	male	45	sperm_cell_high	tdsgR87A03	51.2846	TRUE
Y23-1x1	23-1	1	305	242	2019	female	23	vegetative_cell_high	tdsgR04A02	52.5708	TRUE
Y26-2x1	26-2	1	261	256	2019	female	26	vegetative_cell_high	tdsgR01G01	176.627	TRUE
Y2x18-1	2	18-1	139	140	2019	male	18	vegetative_cell_high	tdsgR02D02	54.9727	TRUE
Y2x32-2	2	32-2	159	152	2019	male	32	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
Y2x64-4	2	64-4	154	114	2019	male	64	sperm_cell_high	tdsgR53C03	48.0851	TRUE
Y73-5x1	73-5	1	251	173	2019	female	73	sperm_cell_high	tdsgR35A03	160.436	TRUE
Y2x32-5	2	32-5	131	162	2019	male	32	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
Y2x39-1	2	39-1	210	238	2019	male	39	vegetative_cell_high	tdsgR88B08	720.42	TRUE
Y20-4x1	20-4	1	201	235	2019	female	20	vegetative_cell_high	tdsgR23D05	31.1667	TRUE
Y2x56-1	2	56-1	228	259	2019	male	56	vegetative_cell_high	tdsgR41F01	159.129	TRUE
Y83-5x1	83-5	1	278	226	2019	female	83	vegetative_cell_high	tdsgR35A08	162	TRUE
Y2x64-3	2	64-3	140	194	2019	male	64	sperm_cell_high	tdsgR53C03	48.0851	TRUE
Y87-5x1	87-5	1	287	189	2019	female	87	sperm_cell_high	tdsgR84A12	392.156	TRUE
Y2x45-4	2	45-4	111	122	2019	male	45	sperm_cell_high	tdsgR87A03	51.2846	TRUE
Y72-6x1	72-6	1	197	199	2019	female	72	vegetative_cell_high	tdsgR67C09	21028.2	TRUE
Y24-4x1	24-4	1	160	203	2019	female	24	vegetative_cell_high	tdsgR102H01	2786.36	TRUE
Y2x25-5m2	2	25-5m2	283	307	2019	male	25	seedling_only	tdsgR63F09	38.2865666666667	TRUE
Y2x11-4	2	11-4	174	148	2019	male	11	sperm_cell_high	tdsgR91F11	220.451	TRUE
Y45-4x1	45-4	1	310	210	2019	female	45	sperm_cell_high	tdsgR87A03	51.2846	TRUE
Y2x66-5	2	66-5	196	194	2019	male	66	sperm_cell_high	tdsgR26G07	118.053	TRUE
Y18-3x1	18-3	1	280	252	2019	female	18	vegetative_cell_high	tdsgR02D02	54.9727	TRUE
Y2x66-2	2	66-2	196	194	2019	male	66	sperm_cell_high	tdsgR26G07	118.053	TRUE
Y46-1x1	46-1	1	212	202	2019	female	46	sperm_cell_high	tdsgR60D10	76.6179	TRUE
Y49-4x1	49-4	1	277	212	2019	female	49	vegetative_cell_high	tdsgR24D03	165.028	TRUE
Y2x23-1	2	23-1	240	234	2019	male	23	vegetative_cell_high	tdsgR04A02	52.5708	TRUE
Y2x20-6?	2	20-6?	233	228	2019	male	20	vegetative_cell_high	tdsgR23D05	31.1667	TRUE
Y2x24-5	2	24-5	179	303	2019	male	24	vegetative_cell_high	tdsgR102H01	2786.36	TRUE
Y2x82-10	2	82-10	254	261	2019	male	82	vegetative_cell_high	tdsgR35A08	162	TRUE
Y68-2x1	68-2	1	302	289	2019	female	68	vegetative_cell_high	tdsgR83B04	90.3365	TRUE
Y2x72-3	2	72-3	214	231	2019	male	72	vegetative_cell_high	tdsgR67C09	21028.2	TRUE
Y2x49G-2	2	49G-2	245	269	2019	male	49	vegetative_cell_high	tdsgR24D03	165.028	TRUE
Y34-6x1	34-6	1	220	228	2019	female	34	vegetative_cell_high	tdsgR101B03	4371.01	TRUE
Y41B-4x1	41B-4	1	200	159	2019	female	41	vegetative_cell_high	tdsgR98H09	369.498	TRUE
Y2x40-1	2	40-1	177	158	2019	male	40	sperm_cell_high	tdsgR31B01	46.2179	TRUE
Y63-7x1	63-7	1	222	191	2019	female	63	sperm_cell_high	tdsgR53C03	48.0851	TRUE
Y2x53-4	2	53-4	203	163	2019	male	53	seedling_only	tdsgR52B09	96.7292666666667	TRUE
Y69-1x1	69-1	1	298	235	2019	female	69	vegetative_cell_high	tdsgR49F11	4175.48	TRUE
Y2x53-3	2	53-3	162	135	2019	male	53	seedling_only	tdsgR52B09	96.7292666666667	TRUE
Y37-3x1	37-3	1	158	162	2019	female	37	seedling_only	tdsgR106F04	103.9473	TRUE
Y2x24-2	2	24-2	204	201	2019	male	24	vegetative_cell_high	tdsgR102H01	2786.36	TRUE
Y49-?5x1	49-?5	1	270	222	2019	female	49	vegetative_cell_high	tdsgR24D03	165.028	TRUE
Y20-3x1	20-3	1	247	232	2019	female	20	vegetative_cell_high	tdsgR23D05	31.1667	TRUE
Y73-2x1	73-2	1	226	241	2019	female	73	sperm_cell_high	tdsgR35A03	160.436	TRUE
Y2x63-3	2	63-3	202	228	2019	male	63	sperm_cell_high	tdsgR53C03	48.0851	TRUE
Y86-1x1	86-1	1	287	239	2019	female	86	vegetative_cell_high	tdsgR103E04	35.5349	TRUE
Y2x51-1	2	51-1	155	166	2019	male	51	vegetative_cell_high	tdsgR52E07	153.004	TRUE
Y2x86-2	2	86-2	306	199	2019	male	86	vegetative_cell_high	tdsgR103E04	35.5349	TRUE
Y87-2x1	87-2	1	265	242	2019	female	87	sperm_cell_high	tdsgR84A12	392.156	TRUE
Y2x70-6	2	70-6	190	148	2019	male	70	vegetative_cell_high	tdsgR08A07	353.673	TRUE
Y24-3x1	24-3	1	259	252	2019	female	24	vegetative_cell_high	tdsgR102H01	2786.36	TRUE
Y2x14-2	2	14-2	100	100	2019	male	14	vegetative_cell_high	tdsgR92F08	330.685	TRUE
Y72-1x1	72-1	1	239	262	2019	female	72	vegetative_cell_high	tdsgR67C09	21028.2	TRUE
Y2x86-5	2	86-5	183	144	2019	male	86	vegetative_cell_high	tdsgR103E04	35.5349	TRUE
Y85-4x1	85-4	1	107	100	2019	female	85	vegetative_cell_high	tdsgR34C11	885.729	TRUE
Y2x70-1	2	70-1	221	165	2019	male	70	vegetative_cell_high	tdsgR08A07	353.673	TRUE
Y75-4x1	75-4	1	251	241	2019	female	75	vegetative_cell_high	tdsgR45E04	32.8555	TRUE
Y26-5x1	26-5	1	211	256	2019	female	26	vegetative_cell_high	tdsgR01G01	176.627	TRUE
Y2x14-5	2	14-5	172	210	2019	male	14	vegetative_cell_high	tdsgR92F08	330.685	TRUE
Y71-4x1	71-4	1	237	268	2019	female	71	vegetative_cell_high	tdsgR81E02	4371.01	TRUE
Y2x35-2	2	35-2	236	233	2019	male	35	vegetative_cell_high	tdsgR81G05	64.6735	TRUE
Y2x51-6	2	51-6	171	198	2019	male	51	vegetative_cell_high	tdsgR52E07	153.004	TRUE
Y2x32-6	2	32-6	149	148	2019	male	32	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
Y2x73G-1	2	73G-1	260	234	2019	male	73	sperm_cell_high	tdsgR35A03	160.436	TRUE
Y54-2x1	54-2	1	203	211	2019	female	54	vegetative_cell_high	tdsgR33F03	304.574	TRUE
Y2x39-2	2	39-2	235	229	2019	male	39	vegetative_cell_high	tdsgR88B08	720.42	TRUE
Y51-1x1	51-1	1	303	252	2019	female	51	vegetative_cell_high	tdsgR52E07	153.004	TRUE
Y2x56-2	2	56-2	174	164	2019	male	56	vegetative_cell_high	tdsgR41F01	159.129	TRUE
Y50G-2x1	50G-2	1	279	265	2019	female	50	sperm_cell_high	tdsgR106G12	126.303	TRUE
Y2x25-5m1	2	25-5m1	308	266	2019	male	25	seedling_only	tdsgR63F09	38.2865666666667	TRUE
Y2x18-5	2	18-5	249	272	2019	male	18	vegetative_cell_high	tdsgR02D02	54.9727	TRUE
Y55-1x1	55-1	1	126	151	2019	female	55	vegetative_cell_high	tdsgR77F09	33.3009	TRUE
Y58-2x1	58-2	1	225	195	2019	female	58	vegetative_cell_high	tdsgR99B02	56.2152	TRUE
Y2x18-2	2	18-2	204	207	2019	male	18	vegetative_cell_high	tdsgR02D02	54.9727	TRUE
Y56-4x1	56-4	1	315	285	2019	female	56	vegetative_cell_high	tdsgR41F01	159.129	TRUE
